pres_1,pres_2,sim
1,1,1.0
1,2,0.9969000202361163
1,3,0.9971000060070906
1,4,0.9954351218177467
1,5,0.9949134129271855
1,6,0.9894337366093424
1,7,0.9972117879048625
1,8,0.9962839773181109
1,9,0.0
1,10,0.9973135856028261
1,11,0.9925545740242248
1,12,0.9907907250714236
1,13,0.9958397981591357
1,14,0.9916230645144446
1,15,0.9918411451551269
1,16,0.9910152427375745
1,17,0.991362965795966
1,18,0.9936035019357691
1,19,0.9902006541680722
1,20,0.0
1,21,0.9796361389413052
1,22,0.9903672617261794
1,23,0.9913164205716596
1,24,0.9816472129835113
1,25,0.9948970049962854
1,26,0.9865649497625042
1,27,0.9894108852811649
1,28,0.9897277186233314
1,29,0.9929968673995103
1,30,0.9843740813196271
1,31,0.9887365254758278
1,32,0.9857932564355447
1,33,0.9831313054674747
1,34,0.9837898486497744
1,35,0.9738590457386345
1,36,0.9850907186017178
1,37,0.9760866710851617
1,38,0.9697536471843935
1,39,0.9706566884034664
1,40,0.9584160006357428
1,41,0.9529970633083549
1,42,0.9677901767725718
1,43,0.9536279245443118
1,44,0.959116115686985
2,1,0.9969000202361163
2,2,1.0
2,3,0.9957212398727912
2,4,0.995165986041656
2,5,0.9946309288499947
2,6,0.9927344384778272
2,7,0.9970225069588794
2,8,0.9965043248119477
2,9,0.0
2,10,0.9960061067847471
2,11,0.9956531907349047
2,12,0.9938525006320791
2,13,0.9972413252363737
2,14,0.9945084455361398
2,15,0.9937845378197643
2,16,0.993680197149212
2,17,0.9952077600260418
2,18,0.9959113510492622
2,19,0.9937650473208476
2,20,0.0
2,21,0.9868396919313707
2,22,0.9934429949471946
2,23,0.9946065052901027
2,24,0.988188369917568
2,25,0.9945825349117208
2,26,0.9914016362527112
2,27,0.9881784853647099
2,28,0.9897431622726748
2,29,0.9942498337569134
2,30,0.9906588785035745
2,31,0.9908207043305777
2,32,0.9880170218847905
2,33,0.9872524710741247
2,34,0.9855218191469243
2,35,0.9775461663862025
2,36,0.9860917523438814
2,37,0.9828256112202819
2,38,0.9801383155124473
2,39,0.974892891278476
2,40,0.9617502048322577
2,41,0.9576479005168979
2,42,0.9748521385361205
2,43,0.9579308260692269
2,44,0.9674772223608309
3,1,0.9971000060070906
3,2,0.9957212398727912
3,3,1.0
3,4,0.9928624964030428
3,5,0.9929745198295765
3,6,0.9870407889705205
3,7,0.9956817885105482
3,8,0.9956577705592876
3,9,0.0
3,10,0.9948420934234208
3,11,0.990781988077103
3,12,0.985907021393028
3,13,0.9933907048068377
3,14,0.9893665771799296
3,15,0.989050644867716
3,16,0.9918173510656343
3,17,0.9905871440055485
3,18,0.9914690153235388
3,19,0.9866061912520537
3,20,0.0
3,21,0.974978218993034
3,22,0.9887310620663757
3,23,0.9888357198612798
3,24,0.9773940503677112
3,25,0.9950796746540529
3,26,0.9817942381384293
3,27,0.993778616908253
3,28,0.9912290616950826
3,29,0.9922085476024589
3,30,0.9837955638610565
3,31,0.9918567853966491
3,32,0.9884894282327512
3,33,0.9834044425186261
3,34,0.9854207868209699
3,35,0.978648457713482
3,36,0.9881414703079493
3,37,0.9807983261626919
3,38,0.9701066348870494
3,39,0.9769960629848901
3,40,0.9647302377619245
3,41,0.9616443838858874
3,42,0.9733061295594827
3,43,0.9631668766036616
3,44,0.9641221582096098
4,1,0.9954351218177467
4,2,0.995165986041656
4,3,0.9928624964030428
4,4,1.0
4,5,0.9948940213376678
4,6,0.9953651908492751
4,7,0.996405119033165
4,8,0.9981815593498816
4,9,0.0
4,10,0.9964186993068904
4,11,0.9944040265798247
4,12,0.9914582828055728
4,13,0.9970893085216411
4,14,0.995803303535546
4,15,0.9918810439528412
4,16,0.9919494270539634
4,17,0.9948405900349228
4,18,0.9959687054638944
4,19,0.9960496690849209
4,20,0.0
4,21,0.9880477328115705
4,22,0.9962085086250849
4,23,0.9958517243580173
4,24,0.9896736817083787
4,25,0.9931506981151098
4,26,0.9923532841122363
4,27,0.9798853842384397
4,28,0.9848290598875575
4,29,0.9910032942497543
4,30,0.9889493851121177
4,31,0.9836246140030711
4,32,0.9790418974084811
4,33,0.9828488319801751
4,34,0.9799682146695641
4,35,0.9610398387969508
4,36,0.9760895045816345
4,37,0.9722999400986241
4,38,0.972909287918144
4,39,0.9604126948217125
4,40,0.9442756465056317
4,41,0.936591263737954
4,42,0.9581365919649815
4,43,0.937624801597125
4,44,0.9507473489257732
5,1,0.9949134129271855
5,2,0.9946309288499947
5,3,0.9929745198295765
5,4,0.9948940213376678
5,5,1.0
5,6,0.9935222447970434
5,7,0.9984714977006072
5,8,0.9971435594898157
5,9,0.0
5,10,0.9973699162701574
5,11,0.9975085021750852
5,12,0.9939555543300115
5,13,0.9978276143198355
5,14,0.9945591928595603
5,15,0.9963980286510006
5,16,0.994810593808551
5,17,0.9950321702207423
5,18,0.9964773688088665
5,19,0.9921537542984202
5,20,0.0
5,21,0.9840745682651153
5,22,0.9911130658865448
5,23,0.9945948882492051
5,24,0.9881524871702775
5,25,0.9930722142662927
5,26,0.9901044736022117
5,27,0.9822606057033726
5,28,0.9822509980874
5,29,0.989724344499996
5,30,0.9821819764510354
5,31,0.9806583777850484
5,32,0.9766514862274323
5,33,0.975388772785783
5,34,0.9738341404527406
5,35,0.9664619543326287
5,36,0.9804123857186589
5,37,0.9710237285092689
5,38,0.9679247095734897
5,39,0.9645929036954135
5,40,0.9510121754518184
5,41,0.9437983397045628
5,42,0.96100045980871
5,43,0.9473528128294608
5,44,0.9601535338024498
6,1,0.9894337366093424
6,2,0.9927344384778272
6,3,0.9870407889705205
6,4,0.9953651908492751
6,5,0.9935222447970434
6,6,1.0
6,7,0.9936512372598846
6,8,0.9956246025645721
6,9,0.0
6,10,0.99405569752507
6,11,0.9958504659410949
6,12,0.9933610708326267
6,13,0.9966061219000648
6,14,0.9973658065837313
6,15,0.9928882610882908
6,16,0.9925823298185603
6,17,0.9965096608200474
6,18,0.9975501094738398
6,19,0.9976465042309988
6,20,0.0
6,21,0.9918998737378779
6,22,0.9960242892328873
6,23,0.9973209992154904
6,24,0.9945393131751961
6,25,0.9886935933889942
6,26,0.9949359799728711
6,27,0.9733012802189629
6,28,0.9766109849292433
6,29,0.9859991796040952
6,30,0.9885995451437581
6,31,0.9773827110309534
6,32,0.9711231495099608
6,33,0.9763261437212412
6,34,0.9716863624060245
6,35,0.956375952249889
6,36,0.9711005980671472
6,37,0.9680408984473193
6,38,0.9711153790223799
6,39,0.9544105591031117
6,40,0.937349846344456
6,41,0.9293701360829781
6,42,0.9523998748756994
6,43,0.9300393225629177
6,44,0.9488558318905926
7,1,0.9972117879048625
