word,1790,1800,1810,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010
great,18.268502428374102,21.68654600050046,33.74242288512646,32.94683257918552,20.827161491296582,26.9522085386545,22.88664228866423,24.442094971749487,23.40659597874681,13.044847285322298,19.69920060240559,28.316179927903452,28.153984129326687,22.156573116691284,23.405335288477808,36.38003607937463,29.16883696703624,20.5418986826022,33.840105501505384,0,0,20.664441265299633,0
war,17.82292919841376,17.516056385019603,31.95078981157992,19.937782805429865,0,26.221576379474108,0,23.305253345156487,0,0,0,0,16.120426396630602,19.04687864417321,0,60.132291040288635,0,15.788401466793427,0,0,0,0,0
present,17.377355968453415,18.350154308115773,16.72190868643435,20.361990950226243,23.34078442990134,15.749182097888474,22.370402237040224,15.11999363368689,18.257144863422514,20.91673788853403,15.732467375300025,12.904236978214305,18.61795724681281,19.43559045323797,0,0,0,0,0,0,0,0,0
peace,17.377355968453415,24.188839769788974,0,0,0,0,0,0,0,0,0,0,0,0,0,22.248947684906796,22.174268918818363,21.90004074426185,24.1359576003384,0,0,0,0
object,17.377355968453415,0,0,13.433257918552036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
provision,17.377355968453415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
house,16.931782738493073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shall,16.931782738493073,28.776378346817918,0,0,0,0,17.380081738008172,17.16630856155429,0,0,0,0,14.644612712432027,0,16.919519485646607,17.13770294648226,19.197856983406503,0,0,0,0,0,0
subject,16.040636278572382,0,17.916330735465376,14.281674208144796,24.328279155781782,15.343275342788255,19.531081953108195,0,18.257144863422514,17.093248166974046,0,0,0,0,0,0,0,0,0,0,0,0,0
national,15.595063048612039,0,15.527486637403326,0,0,0,0,14.324204495071791,0,0,0,15.202967452066245,12.828226639572241,22.41571432273446,28.48119113417179,26.75886951292844,0,0,0,17.576685377331746,0,0,0
power,15.595063048612039,16.68195846192343,17.61772522320762,25.735294117647058,21.006705986911207,22.406052881532055,23.230802323080233,23.418937507815787,15.331320366079161,12.932391705276416,0,17.44945405151246,0,17.232890201871,18.89346342563871,0,0,0,0,0,0,0,0
congress,15.595063048612039,22.103594962048543,25.978679566424795,31.391402714932127,27.021446590001165,30.03709987741616,32.09292320929232,31.49051305662608,41.07857594270065,27.326705951149297,23.329769996705593,20.949793636696096,26.451122186020637,31.744797740288682,34.12103096272066,28.5628382441371,28.424733983183273,29.709357598804836,41.30483465624922,29.766967171287632,26.55767672064428,25.88732202466108,20.084112951677966
time,15.595063048612039,27.108182500625574,0,0,20.378300252260015,18.834073436650133,17.294041729404174,19.212623489421688,18.608243803103715,13.494669605505825,17.413286539327807,15.934381693746408,19.866722671903915,17.88074321697893,22.559359314195476,23.451593505712566,20.090780564030062,18.165150074697813,21.89653885391525,18.8524125418155,26.040319381930434,0,24.718908248219037
representatives,15.149489818651695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commissioner,15.149489818651695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
year,0,22.937692885144717,17.61772522320762,29.835972850678733,18.94194428734301,21.02596991419131,26.586362658636265,30.23998726737378,39.32308124429464,30.70037335252575,44.84425529626119,20.27062326942166,25.883501538251956,29.153385679856953,34.96700693700299,32.17077570655442,42.711511273160205,57.04196658970528,71.91022419069894,54.572773147360664,60.01345129080656,44.73510911279152,57.84911166423483
necessary,0,22.103594962048543,0,0,12.568114693023798,0,0,0,0,0,0,0,13.168799028233451,0,0,0,0,0,0,0,0,0,0
interest,0,18.76720326966386,15.826092149661083,20.079185520361992,19.92943901322345,17.616353171349477,15.659281565928156,15.461046121664792,16.969782084591436,21.141649048625794,16.135863974666695,15.411942949689148,16.120426396630602,0,0,0,0,0,0,0,0,0,0
million,0,19.60130119276003,17.916330735465376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
place,0,17.933105346567686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vessel,0,17.933105346567686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commerce,0,15.847860538827259,14.034459076114546,13.574660633484163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
