pres_1,pres_2,sim,pres_1_party,pres_2_party
3,41,0.9616443838858874,Democratic-Republican,Democratic
3,42,0.9733061295594827,Democratic-Republican,Republican
3,43,0.9631668766036616,Democratic-Republican,Democratic
3,44,0.9641221582096098,Democratic-Republican,Republican
4,1,0.9954351218177467,Democratic-Republican,Unaffiliated
4,2,0.995165986041656,Democratic-Republican,Federalist
4,3,0.9928624964030428,Democratic-Republican,Democratic-Republican
4,4,1.0,Democratic-Republican,Democratic-Republican
4,5,0.9948940213376678,Democratic-Republican,Democratic-Republican
4,6,0.9953651908492751,Democratic-Republican,Democratic-Republican
4,7,0.996405119033165,Democratic-Republican,Democratic
4,8,0.9981815593498816,Democratic-Republican,Democratic
4,9,0.0,Democratic-Republican,Whig
4,10,0.9964186993068904,Democratic-Republican,Whig
4,11,0.9944040265798247,Democratic-Republican,Democratic
4,12,0.9914582828055728,Democratic-Republican,Whig
4,13,0.9970893085216411,Democratic-Republican,Whig
4,14,0.995803303535546,Democratic-Republican,Democratic
4,15,0.9918810439528412,Democratic-Republican,Democratic
4,16,0.9919494270539634,Democratic-Republican,Republican
4,17,0.9948405900349228,Democratic-Republican,Democratic
4,18,0.9959687054638944,Democratic-Republican,Republican
4,19,0.9960496690849209,Democratic-Republican,Republican
4,20,0.0,Democratic-Republican,Republican
4,21,0.9880477328115705,Democratic-Republican,Republican
4,22,0.9962085086250849,Democratic-Republican,Democratic
4,23,0.9958517243580173,Democratic-Republican,Republican
4,24,0.9896736817083787,Democratic-Republican,Republican
4,25,0.9931506981151098,Democratic-Republican,Republican
4,26,0.9923532841122363,Democratic-Republican,Republican
4,27,0.9798853842384397,Democratic-Republican,Democratic
4,28,0.9848290598875575,Democratic-Republican,Republican
4,29,0.9910032942497543,Democratic-Republican,Republican
4,30,0.9889493851121177,Democratic-Republican,Republican
4,31,0.9836246140030711,Democratic-Republican,Democratic
4,32,0.9790418974084811,Democratic-Republican,Democratic
4,33,0.9828488319801751,Democratic-Republican,Republican
4,34,0.9799682146695641,Democratic-Republican,Democratic
4,35,0.9610398387969508,Democratic-Republican,Democratic
4,36,0.9760895045816345,Democratic-Republican,Republican
4,37,0.9722999400986241,Democratic-Republican,Republican
4,38,0.972909287918144,Democratic-Republican,Democratic
4,39,0.9604126948217125,Democratic-Republican,Republican
4,40,0.9442756465056317,Democratic-Republican,Republican
4,41,0.936591263737954,Democratic-Republican,Democratic
4,42,0.9581365919649815,Democratic-Republican,Republican
4,43,0.937624801597125,Democratic-Republican,Democratic
4,44,0.9507473489257732,Democratic-Republican,Republican
5,1,0.9949134129271855,Democratic-Republican,Unaffiliated
5,2,0.9946309288499947,Democratic-Republican,Federalist
5,3,0.9929745198295765,Democratic-Republican,Democratic-Republican
5,4,0.9948940213376678,Democratic-Republican,Democratic-Republican
5,5,1.0,Democratic-Republican,Democratic-Republican
5,6,0.9935222447970434,Democratic-Republican,Democratic-Republican
5,7,0.9984714977006072,Democratic-Republican,Democratic
5,8,0.9971435594898157,Democratic-Republican,Democratic
5,9,0.0,Democratic-Republican,Whig
5,10,0.9973699162701574,Democratic-Republican,Whig
5,11,0.9975085021750852,Democratic-Republican,Democratic
5,12,0.9939555543300115,Democratic-Republican,Whig
5,13,0.9978276143198355,Democratic-Republican,Whig
5,14,0.9945591928595603,Democratic-Republican,Democratic
5,15,0.9963980286510006,Democratic-Republican,Democratic
5,16,0.994810593808551,Democratic-Republican,Republican
5,17,0.9950321702207423,Democratic-Republican,Democratic
5,18,0.9964773688088665,Democratic-Republican,Republican
